2026-02-21 17:00:16 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-21 17:17:38 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-21 17:25:51 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-21 17:40:14 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-21 17:50:13 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-21 17:59:46 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-21 18:11:32 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-21 18:59:48 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-21 20:15:36 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-21 20:43:23 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-21 20:47:34 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-21 20:52:05 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-21 20:52:44 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-21 21:05:22 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-21 21:06:17 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-21 21:31:53 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-21 21:40:19 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
